분류,사업장명,전체주소,좌표
골프장,해솔리아컨트리클럽,경기도 용인시 처인구 이동읍 서리 1222 해솔리아컨트리클럽,"[37.2036973, 127.1841351]"
골프장,해슬리나인브릿지 컨트리클럽,경기도 여주시 연라동 산 67-1번지,"[37.2826648, 127.6400521]"
골프장,현대 태안 CC 3,충청남도 태안군 태안읍 송암리 1528,"[36.7026465, 126.3232826]"
골프장,현대 태안 CC 4,충청남도 태안군 태안읍 소곳이길 92-231,"[36.7096498, 126.3176051]"
골프장,현대더링스CC1,충청남도 태안군 태안읍 반곡리,"[36.7255431, 126.3265795]"
골프장,현대더링스CC2,충청남도 태안군 태안읍 반곡길 284-0,"[36.7364046, 126.3219922]"
골프장,호반서서울 주식회사,경기도 파주시 광탄면 용미리 산 79-1번지,"[37.7336517, 126.9023395]"
골프장,화산,경기도 용인시 처인구 이동읍 화산리 129-64번지,"[37.1544895, 127.2333319]"
골프장,화성 상록 G.C,경기도 화성시 중동 산 170,"[37.1994932, 126.8311887]"
골프장,화성골프클럽,경기도 화성시 남양읍 북양리 172-7,"[37.2184556, 126.8327773]"
골프장,휘닉스파크골프장(회원제),강원도 평창군 봉평면 면온리 산 249번지,"[37.5906091, 128.3333355]"
골프장,휘닉스파크대중골프장,강원도 평창군 봉평면 무이리 산 268번지,"[37.5821191, 128.3177227]"
공공하수처리시설,1화도,경기도 남양주시 화도읍 폭포로 562,"[37.6313432, 127.3465878]"
공공하수처리시설,4단지하수처리장,경상북도 구미시 첨단기업로 8,"[36.1341465, 128.4496918]"
공공하수처리시설,가계,전라남도 진도군 고군면 금계리 1531,"[34.4400958, 126.3484235]"
공공하수처리시설,가곡,충청북도 영동군 양산면 가곡리 852번지,"[36.1265286, 127.66919]"
공공하수처리시설,가구마을하수도,경상북도 영양군 석보면 원리리 631번지,"[36.5590337, 129.1293215]"
공공하수처리시설,가남,경기도 여주시 가남읍 일신로 166,"[37.2208405, 127.5523121]"
공공하수처리시설,가달,경상남도 김해시 한림면 병동리 101311,"[35.2814609, 128.7977665]"
공공하수처리시설,가대1리소규모하수처리장,충청북도 음성군 가곡면 가대리 1859,"[36.9396792, 127.6905018]"
공공하수처리시설,가대2리소규모하수처리장,충청북도 음성군 가곡면 가대2리 3412,"[36.9396792, 127.6905018]"
공공하수처리시설,가덕,전라남도 함평군 신광면 가덕리 7072,"[35.1344191, 126.4903837]"
공공하수처리시설,가례마을,경상북도 김천시 대덕면 가례리 4552,"[35.9481001, 127.9930725]"
공공하수처리시설,가리산리,강원도 인제군 인제읍 가리산리 9210,"[38.0726672, 128.3164133]"
공공하수처리시설,가림,전라북도 무주군 무주읍 가옥리 2801,"[35.9733514, 127.6465986]"
공공하수처리시설,가미,경상남도 의령군 용덕면 덕암로 39326,"[35.3537331, 128.2700078]"
공공하수처리시설,가배마을,경상남도 거제시 동부면 가배리 24712,"[34.772718, 128.5596687]"
공공하수처리시설,가봉,전라남도 화순군 춘양면 가봉리 10255,"[34.9353385, 126.9627083]"
공공하수처리시설,가산리소규모하수처리장,충청북도 음성군 단성면 가산리 891번지,"[36.9396792, 127.6905018]"
공공하수처리시설,가삼2마을공공하수처리시설,광주광역시 광산구 송산동 8735,"[35.1641691, 126.722394]"
공공하수처리시설,가삼마을공공하수처리시설,광주광역시 광산구 지평동 37213,"[35.1510558, 126.7288248]"
공공하수처리시설,가시두리동,제주특별자치도 서귀포시 표선면 가시리 23391,"[33.3988071, 126.7063341]"
공공하수처리시설,가시역지동,제주특별자치도 서귀포시 표선면 가시리 3802,"[33.3870582, 126.7534582]"
공공하수처리시설,가암공공하수처리시설,충청북도 진천군 진천읍 가산리 194번지,"[36.8805, 127.4712018]"
공공하수처리시설,가야,경기도 여주시 강천면 가야리 7293,"[37.2644226, 127.6951397]"
공공하수처리시설,가야,경상남도 함안군 가야읍 남경길 107123,"[35.283165, 128.4155907]"
공공하수처리시설,가야야로,경상남도 합천군 야로면 정대리 4781,"[35.6894169, 128.1751034]"
공공하수처리시설,가운,경기도 남양주시 가운동 5623,"[37.5986684, 127.1692706]"
공공하수처리시설,가은,경상북도 문경시 가은읍 왕릉리 242,"[36.6451173, 128.0681132]"
공공하수처리시설,가을,인천광역시 옹진군 백령면 북포리 673,"[37.9522739, 124.6672563]"
공공하수처리시설,가인1,전라남도 장성군 북하면 약수리 274,"[35.4220987, 126.8779714]"
공공하수처리시설,가인2,전라남도 장성군 북하면 약수리 272,"[35.4220815, 126.8781534]"
공공하수처리시설,가장처리장,전라남도 여수시 율촌면 가장리 7911,"[34.8438973, 127.5614166]"
공공하수처리시설,가정,경기도 여주시 북내면 여강로 82,"[37.3074302, 127.6848729]"
공공하수처리시설,가정,충청북도 충주시 소태면 양촌리 135,"[37.0878948, 127.8620406]"
공공하수처리시설,가조,경상남도 거창군 가조면 대초길 207110,"[35.69154880000001, 128.0153705]"
공공하수처리시설,가좌,인천광역시 서구 중봉대로 211,"[37.4971235, 126.644393]"
공공하수처리시설,가좌,충청남도 부여군 은산면 가중리 1312,"[36.2986469, 126.8439737]"
공공하수처리시설,가지,충청남도 예산군 신양면 가지리 9009,"[36.5742515, 126.8581136]"
공공하수처리시설,가지들마을하수도,경상북도 영양군 입암면 연당리 1131번지,"[36.6117479, 129.0696862]"
공공하수처리시설,가창삼산,대구광역시 달성군 가창면 옥분리 6709,"[35.740886, 128.6433493]"
공공하수처리시설,가천,경상남도 남해군 남면 홍현리 795,"[34.7258037, 127.8943818]"
공공하수처리시설,가촌휴촌,경상남도 함양군 병곡면 도천리 2401,"[35.5414353, 127.6939896]"
공공하수처리시설,가탄,경상남도 하동군 화개면 탑리 209,"[35.2021736, 127.6324058]"
공공하수처리시설,가파리,제주특별자치도 서귀포시 대정읍 가파리 5331,"[33.1700179, 126.271518]"
공공하수처리시설,가평,경기도 가평군 가평읍 달전로31번길 48,"[37.8162694, 127.5204221]"
공공하수처리시설,가평공공하수처리시설,강원도 정선군 북평면 장열리 5981,"[37.4565353, 128.6833984]"
공공하수처리시설,가평리소규모하수처리장,충청북도 음성군 매포읍 가평리 1691,"[36.9396792, 127.6905018]"
공공하수처리시설,가풍,충청북도 옥천군 옥천읍 가풍리 583번지,"[36.2609554, 127.5874921]"
공공하수처리시설,가학,전라남도 진도군 지산면 가학리 산156,"[34.4287448, 126.1008756]"
공공하수처리시설,가회,경상남도 합천군 가회면 덕촌리 4245,"[35.4347435, 128.0198783]"
공공하수처리시설,가흥이주,경상남도 함양군 마천면 가흥리 1253,"[35.3836997, 127.6609516]"
공공하수처리시설,각계,충청북도 영동군 심천면 각계리 505번지,"[36.2093716, 127.7223453]"
공공하수처리시설,간매,경기도 여주시 강천면 강문로 300,"[37.2860561, 127.6942986]"
공공하수처리시설,간성,강원도 고성군 간성읍 동호리 7903,"[38.3907679, 128.4802512]"
공공하수처리시설,간월도,충청남도 서산시 부석면 간월도2길 381,"[36.6061289, 126.4157872]"
공공하수처리시설,간척,전라북도 부안군 동진면 동전리 2298,"[35.7704041, 126.767793]"
공공하수처리시설,갈계,경상남도 거창군 북상면 갈계리 14872,"[35.7935113, 127.8149498]"
공공하수처리시설,갈남,강원도 삼척시 원덕읍 갈남리 132번지,"[37.2798223, 129.321252]"
